Condition,A,
Initials,jw,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,more we caught,
What is the effect on winter flounder?,Increased a little,1
Why?,less are being caught,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,less are caught,
What is the effect on skates?,Decreased a lot,3
Why?,more are caught,
What is the effect on cod?,Stayed about the same,0
Why?,not effected by alasmobranchs,
What is the effect on haddock?,Decreased a little,2
Why?,they co-encide with the elasmobranchs,
What is the effect on windowpane?,Decreased a little,1
Why?,co-incide,
