Condition,A,
Initials,TJC,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"With an increase in harvest effort, more small pelogics are being caught and thus herring populations decrease.",
What is the effect on winter flounder?,Increased a lot,3
Why?,The winter flounder population increased significantly because the efforts to fish them decreased.,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,The yellowtail flounder population increased slightly with the decrease in harvest effort of flatfish because..,
What is the effect on skates?,Decreased a lot,3
Why?,"The population of skates decreased significantly becayse the pop. of flatfish increased, and these fish eat elsmobranchs",
What is the effect on cod?,Increased a lot,3
Why?,"cod pop. increased because as the pop. of skates decreased, they were being eaten less because skates are their predators",
What is the effect on haddock?,Decreased a little,2
Why?,The population of haddock decreased slightly becayse...??,
What is the effect on windowpane?,Decreased a little,1
Why?,I have absolutely no idea,
