Condition,A,
Initials,MB,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"The amount of fishing of the Small Pelagics increases by half, so there are not as many fish reproducting, making the population go down",
What is the effect on winter flounder?,Increased a lot,3
Why?,"There was less fishing, which caused the population of the flatfish to increase dramatically",
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"There was a steady incline in fish, probably due to reproduction ",
What is the effect on skates?,Decreased a lot,3
Why?,"The population of Winter Flounder and Yellowtail Flounder increased, so these fish could be eating the skates",
What is the effect on cod?,Increased a lot,3
Why?,"Skates may have preyed on cod, and with the drecrease in Skates, the Cod population went up",
What is the effect on haddock?,Decreased a little,2
Why?,"The Haddock may have preyed on skates, as well as other things so because there are not as many skates the population decreased",
What is the effect on windowpane?,Decreased a lot,3
Why?,"This could be due to the increase of other flatfish, they might compete to live in the same area of water. However, it may not be big enough for 2 species, causing the windowpane to decrease",
