Condition,A,
Initials,BR,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,"As we catch more small pelogics, there are less of them in the sea",
What is the effect on winter flounder?,Increased a lot,3
Why?,"the winter flounder is a predator of the flatfish. Less flatfish, so more white flounder",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,Yellowtail flounder and flatfish dont compete in any way and neither is a predator of the other,
What is the effect on skates?,Decreased a lot,3
Why?,Skates depend on elasmobranchs to eat. Less elasmobranchs means less skates,
What is the effect on cod?,Increased a little,1
Why?,"If there are less elasmobranchs, cod have less competition so their population increases",
What is the effect on haddock?,Decreased a little,2
Why?,Haddock may depend on elasmobranchs for some part of the food chain. Less elasmobranchs means slightly less haddock,
What is the effect on windowpane?,Decreased a little,1
Why?,Windowpanes may eat elasmobranchs. less elasmobranchs mean less windowpanes,
