Condition,A,
Initials,RD,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,The amount of herring decreased because the fishing increased of the pelagics which herring is a part of.,
What is the effect on winter flounder?,Increased a little,1
Why?,Since the amount of harvest decreased in the Flatfish the Winter Flounder population increased because less fish were dying and mating could increase.,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,The population slowly increased because there was less harvesting of flatfish,
What is the effect on skates?,Decreased a little,1
Why?,Skates decreased a little because they were being harvested more,
What is the effect on cod?,Increased a lot,3
Why?,Cod increased a lot probably because they prey off of elasmobranch's,
What is the effect on haddock?,Decreased a little,2
Why?,The haddock decreased a little most likely because they prey off of elasmobranch's,
What is the effect on windowpane?,Stayed about the same,0
Why?,The population stayed the same most likely because the windowpane do not interact with elasmobranchs,
