Condition,A,
Initials,AO,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a little,3
Why?,The small pelagics were a necessary resource for the herring. As they went down so did the survival rate of herring.,
What is the effect on winter flounder?,Increased a lot,3
Why?,Winter flounder increased as flatfish efforts decreased due to the fact that winter flounder is reliant on the survival flatfish.,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"While not as relaint as winter flounder, it is still a bit reliant.",
What is the effect on skates?,Decreased a lot,3
Why?,"As elasmoranchs population decreased, the population of skates decreased due to the fact that one is relaint on the other.",
What is the effect on cod?,Increased a lot,3
Why?,The cod now had less competition for resources.,
What is the effect on haddock?,Decreased a little,2
Why?,They were slightly relaint on Elasmobranchs ,
What is the effect on windowpane?,Decreased a little,1
Why?,Resources became less avaliable with the fishing increase.,
