Condition,A,
Initials,P.H.,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a lot,2
Why?,"The harvest effects on small pelagics increased, and the biomass of herring decreased due to loss of a food source or other connection.",
What is the effect on winter flounder?,Increased a lot,3
Why?,"Since winter flounder is a widely harvested flatfish, as harvesting halved, the population of winter flounder skyrocketed over the 15 year span.",
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"Due to halfing flatfish harvest, yellowtail flounder increased slightly.",
What is the effect on skates?,Decreased a lot,3
Why?,Skates decreased an enormous amount due to doubling of harvest efforts.,
What is the effect on cod?,Increased a lot,3
Why?,Cod increased a pretty large amount (increasing constantly after a 10 year span),
What is the effect on haddock?,Decreased a little,2
Why?,Haddock decreased slightly possibly as a result of resource changes.,
What is the effect on windowpane?,Decreased a little,1
Why?,"Remained the same until about 17 years passed, where the decline increased",
