Condition,A,
Initials,CMG,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,Because the food supply has increased and a decrease in predators,
What is the effect on winter flounder?,Increased a lot,3
Why?,Because there is less fishing for the flatfish so they are able to reproduce and increase there population,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Because there not being fished for as much ,
What is the effect on skates?,Decreased a lot,3
Why?,Fishing has increased for elasmobranchs ,
What is the effect on cod?,Increased a lot,3
Why?,Because with a decrease in elasmobranchs must mean an increase in food and increase in cod population,
What is the effect on haddock?,Decreased a little,2
Why?,Fishing still effects the haddock and the food supply must be effecting them with  a decrease in the elasmobranchs,
What is the effect on windowpane?,Stayed about the same,0
Why?,because there has neither been any significant change to the food supply or population,
