Condition,A,
Initials,MC,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,perhaps the herring eat the mackeral,
What is the effect on winter flounder?,Increased a lot,3
Why?,"less flatsish being hunted, higher flounder population",
What is the effect on yellowtail flounder?,Increased a little,2
Why?,less being hunted,
What is the effect on skates?,Decreased a lot,3
Why?,more being hunted,
What is the effect on cod?,Increased a lot,3
Why?,they compete for the same food,
What is the effect on haddock?,Decreased a little,2
Why?,haddock eat elasmobranches,
What is the effect on windowpane?,Decreased a little,1
Why?,windowpane eat elasmobranches,
