Condition,A,
Initials,TC,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,The harvest of Herring doubled which caused the population to decrease.,
What is the effect on winter flounder?,Increased a lot,3
Why?,The amount of Winter Flounder harvested decreased by half which caused the population to increase a large amount.,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,The population of Yellowtail Flounder increased by a very small margin. This could be due to Yellowtail flounder having an already increasing population which would not be changed much by the difference in fishing.,
What is the effect on skates?,Decreased a lot,3
Why?,Doubling the amount of Elasmobranchs harvest effort caused the population of Skates to diminish a very large amount.  This is a very direct correlation between population and harvest.,
What is the effect on cod?,Increased a lot,3
Why?,The population of Cod increased a large amount with the decrease in the amount of Elasmobranchs.  This is likely due to the Cod being a frequent food source for the Elasmobranchs.,
What is the effect on haddock?,Decreased a little,2
Why?,The population of Haddock decreased due to the increased Elasmobranch harvest.  This small decrease may be because the diet of Haccock includes Elasmobranch species of fish.,
What is the effect on windowpane?,Decreased a little,1
Why?,"The decrease in Windowpane may be due to the prolonged increase in the amount of Cod.  With a prolonged increase in the amount of Cod, they may eat a large portion of the windowpane in their diet.",
