Condition,A,
Initials,AA,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a little,3
Why?,"Since the fishing for small pelogics was increased to twice the efforts, the population of herring decreased because they are a targeted species in the small pelogics harvest.",
What is the effect on winter flounder?,Increased a lot,3
Why?,"The winter flounder is a species of flatfish, and so when the fishing of that group of fish is cut in half, the amount of winter flounder after 30 years is much higher.",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"There is such an abundance of yellowtail flounder that even when fishing is decreased, the amount of yellowtail flounder is still about the same as it was before.",
What is the effect on skates?,Decreased a lot,3
Why?,There is a huge decline in the population of skates when the fishing efforts of elasmobranchs is increase to twice as much as before.,
What is the effect on cod?,Increased a lot,3
Why?,"Elasmobranchs and cod compete for resources, and when there is less elasmonbranchs resulting from twice the fishing efforts, the cod thrive with the excess resources not previously available to them.",
What is the effect on haddock?,Decreased a little,2
Why?,"Since cod thrives when elasmobranchs are fished more aggressively, haddock population decreases a little bit. This could be because of the competition between cod and haddock, and since cod immediately grows in population, it beats out haddock for resources.",
What is the effect on windowpane?,Decreased a lot,3
Why?,"The population of windowpane decreased because of the rise in cod, which can beat out windowpane for resources since there is a much smaller amount of elasmobranchs due to twice the efforts of fishing.",
