Condition,A,
Initials,TV,
Gender,Female,
College,TSAS,
What is the effect on herring?,Decreased a little,3
Why?,By increasing the fishing the herring population has decreased,
What is the effect on winter flounder?,Increased a lot,3
Why?,decreasing the fishing you are increasing the winter flounder poulation,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"by decreasing the fishing of yellowtail flounder, their population goes up",
What is the effect on skates?,Decreased a lot,3
Why?,Due to increasing the fishing of elasmobranchs you are decreasing the skate population,
What is the effect on cod?,Increased a lot,3
Why?,Increasing the elasmocranchs fishing it increases the cod population because there is now more food for them to grow and thrive,
What is the effect on haddock?,Decreased a little,2
Why?,"This decrease in haddock is caused by the increase of their predators. This can be caused by being one of the only, if not the only, prey for their predator.",
What is the effect on windowpane?,Decreased a lot,3
Why?,The decrease in the windowpane population can be caused by their food source depleting.,
