Condition,A,
Initials,jdm,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,because we are fishing them more,
What is the effect on winter flounder?,Increased a lot,3
Why?,because we are fishing them less so they will natuarlly increase ,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,because they have to compete more for their food against the other fish ,
What is the effect on skates?,Decreased a lot,3
Why?,decrease a lot because we are doubling the amount taht we are catching now ,
What is the effect on cod?,Increased a lot,3
Why?,it increases because they are not getting hunted by the bigger fish ,
What is the effect on haddock?,Decreased a little,2
Why?,they are limiting the resources and so more fishermen will have to hunt them to make a profit ,
What is the effect on windowpane?,Decreased a lot,3
Why?,because there will be no more elasmobranchs to catch so they will need to increase more fishing for the other fish ,
