Condition,A,
Initials,DAD,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,There was a larger harvest effort for small pelogics so there were less fish to repopulate,
What is the effect on winter flounder?,Increased a lot,3
Why?,Less flatfish were harvested so there was an increase in population since there is no competetion,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,Yellowtail flounder don't have much competition,
What is the effect on skates?,Decreased a lot,3
Why?,There is an increase in the amount of groundfish and they are competitive with the elasmobranchs,
What is the effect on cod?,Increased a lot,3
Why?,"Elasmobranchs compete for the same food that cod do, and since they are harvested twice as much, the cod excel",
What is the effect on haddock?,Decreased a little,2
Why?,They share similar resources to elasmobranchs and the cod and the flounder outcompete them,
What is the effect on windowpane?,Decreased a little,1
Why?,"With the decrease in elasmobranchs harvesting, the windowpane's also decrease because they are outnumbered by flounder",
