Condition,B,
Initials,MC,
Gender,Female,
College,COLA,
What is the effect on herring?,Increased a little,0
Why?,Because there was more fish for the Herring.,
What is the effect on winter flounder?,Stayed about the same,0
Why?,The decrease didn't affect them that much.,
What is the effect on yellowtail flounder?,Decreased a lot,0
Why?,There was less fish for them to eat. ,
What is the effect on skates?,Increased a little,0
Why?,There was more fish for them to eat. ,
What is the effect on cod?,Stayed about the same,0
Why?,Because they don't hunt each other. ,
What is the effect on haddock?,Stayed about the same,0
Why?,They don't hunt each other. ,
What is the effect on windowpane?,Decreased a lot,3
Why?,There was no fish for them to eat. ,
