Condition,B,
Initials,CJI,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,The doubled their harvest efforts so the population of herring was taken at double the rate than before. ,
What is the effect on winter flounder?,Increased a lot,3
Why?,The winter flounder were harvested less so the fish were able to live and reproduce in their natural environment. This also left more flounder to compete with spiny dogfish so they were given a better chance at survival. ,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,The population of yellowtail flounder didn't change much at all because the higher population of the winter flounder allowed the yellowtail flouder to have to compete less and they were also given a better chance at survival. ,
What is the effect on skates?,Decreased a lot,3
Why?,"They doubled the amount of fish they were harvesting so they took more skates out of the natural population so their survival rates were dramatically decreased, especially because their competition were better able to survive.",
What is the effect on cod?,Increased a lot,3
Why?,Spiny dogfish prey on Cod and then the eslasmobranchs harvest weas doubled the simy dogfish population decreased dramatically so the cod were not facing as many predators which allowed their population to thrive. ,
What is the effect on haddock?,Decreased a little,2
Why?,Haddock decreased because they were competing with the yellowtail flounder which increased so the haddock had more competition for survival. ,
What is the effect on windowpane?,Decreased a lot,3
Why?,Cod and windowpane compete and when the cod population increased the windowpane population was able to thrive for a while but eventually decreased because they had so much competition.,
