Condition,B,
Initials,JP,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,Because they are being fished at double the rate they were.,
What is the effect on winter flounder?,Increased a lot,3
Why?,Because they are being fished at half of the rate they were.,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,Becasue there are two other species competing for the same resources.,
What is the effect on skates?,Decreased a lot,3
Why?,Because they are being fished at double the rate.,
What is the effect on cod?,Increased a lot,3
Why?,Because Spiny Dogfish eat cod and they are being fished at double the rate.,
What is the effect on haddock?,Stayed about the same,0
Why?,This is because they are neither in commpetition nor eaten by the effected fish.,
What is the effect on windowpane?,Decreased a little,1
Why?,Because they compete with cod who has increased in population.,
