Condition,B,
Initials,vjk5,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,Because Herring are competing with Mackerel. ,
What is the effect on winter flounder?,Increased a lot,3
Why?,Yellowtail Flounder compete with winter Flounder.,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Yellowtail FLounder compete with Winter Flounder.,
What is the effect on skates?,Decreased a lot,3
Why?,Skates compete with Spinydogfish.,
What is the effect on cod?,Decreased a lot,0
Why?,Spinydogfish are the predators of Cod.,
What is the effect on haddock?,Decreased a lot,3
Why?,Spiny dogfish compete Haddock.,
What is the effect on windowpane?,Decreased a little,1
Why?,Skates compete with windowpane,
