Condition,B,
Initials,AVI,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a lot,2
Why?,Herring is a small pelagic. Small Pelagic harvesting was increased. Herring harvesting was increased. There are less herring.,
What is the effect on winter flounder?,Increased a little,1
Why?,The Winter Flounder is a flatfish. Flatfish harvesting was halved so less flatfish are being caught. Less Winter Flounder are being caught.,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Less yellowtail flounder is being caught.,
What is the effect on skates?,Decreased a lot,3
Why?,They are being harvested twice as much!,
What is the effect on cod?,Increased a little,1
Why?,Because Spiny Dogfish prey on Cod and they are decreased so Cod is left without one predator.,
What is the effect on haddock?,Decreased a little,2
Why?,Skate goes down which causes winter flounder and yellowtail flounder to go up and they are in competition with haddock so haddock goes down.,
What is the effect on windowpane?,Decreased a lot,3
Why?,Windowpane goes down because winter flounder goes up and winter flounder is in competition with windowpane.,
