Condition,B,
Initials,ND,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a little,3
Why?,"The fishing efforts increased in the family of small pelogics, which include the species of herring, so the population would decrease due to the fact that more are being harvested.",
What is the effect on winter flounder?,Increased a lot,3
Why?,"Winter flounder are being harvested less, which leads to an increased population.",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"Yellowtail flounder compete with both winter flounder and windowpane, and while the population of winter flounder and windowpane increased due to the decreased harvesting effort have caused even more competition for the yellowtail flounder, which causes the population of yellowtail flounder to stay about the same.",
What is the effect on skates?,Decreased a lot,3
Why?,Increased harvesting has led to a decreased population of skates.,
What is the effect on cod?,Increased a lot,3
Why?,"The decreased population of spiny dogfish leads to an increased population of cod, due to the fact that spiny dogfish prey on cod, and with less spiny dogfish to eat the cod, there will be a larger population of cod.",
What is the effect on haddock?,Decreased a little,2
Why?,"With the higher population of cod due to the lower population of spiny dogfish, there is less haddock because because haddock compete with cod, which means there is less prey for the haddock to eat.",
What is the effect on windowpane?,Decreased a lot,3
Why?,"Windowpane compete with cod, winter flounder, and yellowtail flounder, all who also compete with either spiny dogfish or skates. And with the decreased population of spiny dogfish of skates, there is a higher population of cod, winter flounder, amd yellowtail flounder, which leads to less food for the windowpane to prey on.",
