Condition,C,
Initials,TJS,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a lot,2
Why?,"Herring compete with mackeral, and we are catching more fish ",
What is the effect on winter flounder?,Increased a little,1
Why?,Decreasing the amount caught. increases the amount of free fish,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"It stayed about the same because there was a lesser effort in catching fish, and because both comete with yellowtail flounder.",
What is the effect on skates?,Decreased a lot,3
Why?,"We increased the effort of catching, and they compete with multiple other fish types",
What is the effect on cod?,Increased a lot,3
Why?,"Cods preditor of dogfish decreased, making more cod available.  ",
What is the effect on haddock?,Increased a little,0
Why?,Haddock compete with fewer other fish species,
What is the effect on windowpane?,Decreased a lot,3
Why?,Windowpane compete with fish that are increasing in numbers.,
