Condition,C,
Initials,CTD,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a lot,2
Why?,The more herring that are caught the less there will be,
What is the effect on winter flounder?,Increased a little,1
Why?,The less fish that are caught the more fish there will be. Eventually one will see a peak in the number of fish and then a decrease because there is a limited supply of food.,
What is the effect on yellowtail flounder?,Increased a lot,0
Why?,The yellowtail population is increased because they are caught less. The probably continue to grow in population size because they have a wider range of food to select from.,
What is the effect on skates?,Decreased a lot,3
Why?,The more they are fished the less of them there will be.,
What is the effect on cod?,Increased a lot,3
Why?,The level of spiny dog fish went down so the amount of predation on cod went down which increased the population of cod.,
What is the effect on haddock?,Decreased a little,2
Why?,The haddock has to compete for food with the cod and because the population of cod increased the amount of food available for haddock decreased. Therefore because there is less food available for haddock there is a slight decrease in population.,
What is the effect on windowpane?,Stayed about the same,0
Why?,The population went up initially with windowpane and then it decreased because the population of cod became greater and they both compete for food so their population then suffered a decrease.,
