Condition,C,
Initials,CE,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"Since there are two times more small pelagics being caught, their population decreases because they struggle to repopulate and mantain their numbers.",
What is the effect on winter flounder?,Increased a lot,3
Why?,"Because of the halving of Flatfish being caught, and Winter Flounder being a Flatfish species, the number of Winter Flounders increased a lot because there are fewer being captured. ",
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"Throughout the course of the 30 years, yellowtail flounder lmost tripled in population. This is because they were being fished two times less often than they used to be allowing them to grow steadily as far as population go. Looking where they population started at, its possible that these were fished quite often and numbers mantained, when they stopped getting caught so much, they were able to spawn fish more freely. ",
What is the effect on skates?,Increased a lot,0
Why?,"Skates used to have population levels resting at 50 thousands, but now that they are being fished two times as much, their species struggles to mantain its numbers. Skates lost almost 50 thousand of its fish in the 30 year span.",
What is the effect on cod?,Increased a lot,3
Why?,"Skates compete directly with Spiny Dogfish who prey upon by cod. Due to this, cod were able to grow in numbers because there were fewer Spiny Dogfish to eat the cod so more cod would survive.",
What is the effect on haddock?,Decreased a little,2
Why?,"Clearly in this model cod is a dominate surviror. They compete with all the fish that are groundfish but unlike cod who exponetially grew, haddock struggled to gain population because it directly competes with cod. ",
What is the effect on windowpane?,Decreased a lot,3
Why?,Cod compete with Windowpane and cod seems to survive better than windowpane in the event of Elasmobranchs harvest is doubled. ,
