Condition,C,
Initials,CC,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"Herring is a subspecies of Samll pelagics fish, so whatever happens to this type of fish population as a whole will lead to a decrease in herring population.",
What is the effect on winter flounder?,Increased a little,1
Why?,"If you decrease the amount of fishing on flatfish, naturally the population of a subspecies of this group of fish, liek winter flounder, will increase. ",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,It appears that the subsection of yellow flounder is not affected as much by a change in fishing rates in a decrease.,
What is the effect on skates?,Decreased a lot,3
Why?,The increase of fishing on this population in this instance will only lead to the decrease of the population in a quick manner. ,
What is the effect on cod?,Increased a little,1
Why?,"Spicy dogfish prey on Cod, less predators means the prey will increase, so Cod will survive longer.",
What is the effect on haddock?,Decreased a little,2
Why?,"Haddock are not hunted diectly by this branch of fish, so there is no true chnage in the population.",
What is the effect on windowpane?,Decreased a lot,3
Why?,"Skates compete with Windowpane, so if the competiton doubles, Skates will evnetually outdue the Windowpane.",
