Condition,C,
Initials,SM,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,herring complete with mackerel and mackerel decreased. ,
What is the effect on winter flounder?,Stayed about the same,0
Why?,the winter flounder compete with windowpane and yellowtail flounder.,
What is the effect on yellowtail flounder?,Increased a lot,0
Why?,haddock compete with yellowtail,
What is the effect on skates?,Decreased a little,1
Why?,"winter flounder preys on skates. winter flounder increases so skates decrease
",
What is the effect on cod?,Decreased a lot,0
Why?,cod fish grow because spiny dog fish decrease (they pray on cod),
What is the effect on haddock?,Stayed about the same,0
Why?,"haddock compete with winter flounder, so when they stay the same so does haddock",
What is the effect on windowpane?,Stayed about the same,0
Why?,"cod competes with windowpane, so they stay at similar levels",
