Condition,C,
Initials,BAY,
Gender,Male,
College,CHHS,
What is the effect on herring?,Decreased a little,3
Why?,Herring numbers decrease because more effort is placed on fishing for them.,
What is the effect on winter flounder?,Decreased a lot,0
Why?,"Winter flounder drastically decreased because winter flounder compete with windowpane and yellowtail for resources.  If the population of all of these increases drastically, then competition increases.",
What is the effect on yellowtail flounder?,Decreased a little,0
Why?,Honestly very unsure why the yellowtail only decreased a little.,
What is the effect on skates?,Decreased a lot,3
Why?,Decreased a lot because they are being fished more frequently.,
What is the effect on cod?,Increased a lot,3
Why?,"Spiny dogfish decrease in numbers and also prey on the cod fish, which is therefore why the cod fish population is increasing; not being preyed upon as much.  ",
What is the effect on haddock?,Decreased a little,2
Why?,Compete with winter flounder whose numbers are increasing drastically.  less resources available for haddock.,
What is the effect on windowpane?,Decreased a little,1
Why?,The fe,
