Condition,C,
Initials,NS,
Gender,Male,
College,COLSA,
What is the effect on herring?,Decreased a little,3
Why?,"The herring decreased because as harvest for them goes up, there will be less herring ",
What is the effect on winter flounder?,Increased a lot,3
Why?,"The winter flounder increased because as the harvest was halved, there were more winter flounder became abundant. There was a slight decrease in competition with the yellowtail as well",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"This stayed about the same because there is very little competition between the yellowtail and winter flounder, so it was affected very much",
What is the effect on skates?,Decreased a lot,3
Why?,"As harvest effort increases for elasmobranchs, the skate decreases a lot. The lower levels of skate cause the flatfish to go up because there is less competition for the flatfish. The lower number of skates allows for the cod to rise tremendously because of less predation on them",
What is the effect on cod?,Increased a lot,3
Why?,"The skates, in lower numbers, cant predate as much on the cod, which allows it to rise",
What is the effect on haddock?,Decreased a little,2
Why?,"This decreased a little because the decrease in skate allowed for yellowtail flounder to go up. As yellowtail flounder go up, there is more competition between them and the haddock, causing the haddock to decrease a little",
What is the effect on windowpane?,Decreased a little,1
Why?,"Windowpane goes down because the rise in cod from being less predated upon by the decreasing skates causes competition between the windowpane and cod. So, as cod goes up, there is more competition, limiting resources, and causing the windowpane to decrease",
