Condition,C,
Initials,JJD,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,The decrease of fishing of small pelogics causes a slight decrease in the herring population.,
What is the effect on winter flounder?,Increased a lot,3
Why?,The white flounder population increased alot because the effort on fishing has decreased by half.,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,It stayed about the same because they already were at a high population and decreasing the fishing did not really affect the population.,
What is the effect on skates?,Decreased a lot,3
Why?,The increase in fishing causes more skates to get caught decreasing the fishing by a lot.,
What is the effect on cod?,Increased a lot,3
Why?,The Spiny Dogfish is a huge predator to the cod and due to the large decrease in the dogfish population there will be less predation and the cod population will flourish,
What is the effect on haddock?,Decreased a little,2
Why?,The haddock population decreased slightly because they compete with the skate population and the skate population plummeted leaving more food for the haddocks.,
What is the effect on windowpane?,Decreased a lot,3
Why?,The windowpane population decreased alot because the cod population increased drastically due to the lack of predation of the spiny dogfish. This increases the competition between the windowpane and the cod decreasing the windowpane population,
