Condition,C,
Initials,HB,
Gender,Female,
College,CHHS,
What is the effect on herring?,Decreased a little,3
Why?,We doubled the amount of herring we were catching so the amount of them decreased ,
What is the effect on winter flounder?,Increased a lot,3
Why?,We decreased the amount of fish we were catching so the amount of winter flounder increased a lot ,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,yellowtail flounder is a type of flat fish so since we are catching less yellowtail increased. It didn't increase too much because winter flounder and yellowtail compete for resources and it seems as though winter flounder win,
What is the effect on skates?,Decreased a lot,3
Why?,"When we double the amount of fish we are catching, skates will decrease a lot ",
What is the effect on cod?,Increased a lot,3
Why?,"Spiray dogfish is a type of elasmobranch harvest effort so by doubling the amount of them we catching they will decrease as well and since they eat cod, less cod are being eaten and ultimately the levels of cod will increase ",
What is the effect on haddock?,Decreased a little,2
Why?,"haddock decrease because they compete with cod and since cod increases due to the decrease in predation from the spiray dogfish, cod are out competing haddock for resources ",
What is the effect on windowpane?,Decreased a lot,3
Why?,Windowpane and cod compete for resources and since cod increases due to the decrease in spiray dogfish they are out competing windowpane so windowpane is decreased ,
