Condition,D,
Initials,AB,
Gender,Female,
College,COLSA,
What is the effect on herring?,Decreased a lot,2
Why?,"Herrring are pelagic fish so when they are harvested more, their populations go down.",
What is the effect on winter flounder?,Increased a lot,3
Why?,"The flounder are flatfish so if they are fished less, their population will increase respectively",
What is the effect on yellowtail flounder?,Increased a little,2
Why?,"The yellowtail flounder are also flatfish so if they're harvested less, their populations will increase",
What is the effect on skates?,Decreased a lot,3
Why?,Skates are elasmobranches and if they are harvested more their population will decrease,
What is the effect on cod?,Increased a lot,3
Why?,"Spiny dogfish, which are predators of cod, are elasmobranches.  if they are harvested their population decreases and there are less predators for the cod",
What is the effect on haddock?,Decreased a little,2
Why?,The haddock compete with cod and if the cod populations are increasing because there are less predators on them then there is more competition for the haddock,
What is the effect on windowpane?,Increased a lot,0
Why?,Skates are elasmobranches and they compete with the window panes so if their populations decreased because of overfishing then there is less competition for the windowpanes,
