Condition,D,
Initials,znm,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,because more of their population was harvested,
What is the effect on winter flounder?,Increased a lot,3
Why?,becasue less of their population was harvested ,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"there is substancially more haddock than  the yellowtail  flounder and because of such a large population gap, the haddock dominate the flounder ",
What is the effect on skates?,Decreased a lot,3
Why?,we harvest more ,
What is the effect on cod?,Increased a lot,3
Why?,because of the decease in spiny dogfish population there is an increase in cod population. ,
What is the effect on haddock?,Decreased a little,2
Why?,the decrease in dogfish population casue an increase in cod pop whihc in turn casues a decrease in haddock pop,
What is the effect on windowpane?,Decreased a little,1
Why?,"because of the decrease in elasmobranchs, the are in both flounders and cod which in turn decrease the pop of widowpane.",
