Condition,D,
Initials,CMW,
Gender,Male,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,Since we are harvesting more small pelgics there are less for the hearing to eat. ,
What is the effect on winter flounder?,Increased a little,1
Why?,Since we are harvesting less flatfish there will be more winter flounder due to a larger food supply. ,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"They stay about the same because even though there is a larger food supply, they still have competition from the winter flounder and the windowpane. They might increase a small amount due to the change in Haddock ",
What is the effect on skates?,Decreased a lot,3
Why?,With less Elasmobranchs in the food supply there are less for the skates to feed on. Also it helps the rest of the fish population with the less competition. ,
What is the effect on cod?,Increased a lot,3
Why?,Since there will be less spiny dogfish there will be more Cod. There is also less Haddock which creates less competition for the cod,
What is the effect on haddock?,Decreased a little,2
Why?,There is less Haddock because the competition with Cod is too strong. ,
What is the effect on windowpane?,Decreased a lot,3
Why?,"The competition between Cod, Winter Flounder, and Yellowtail Flounder is too strong to keep up with the increase due to the loss of skates. ",
