Condition,D,
Initials,td,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a lot,2
Why?,they're being harvested,
What is the effect on winter flounder?,Increased a lot,3
Why?,decreased harvest effort,
What is the effect on yellowtail flounder?,Increased a lot,0
Why?,decreased effort and competition,
What is the effect on skates?,Decreased a little,1
Why?,increased harvest effort,
What is the effect on cod?,Increased a lot,3
Why?,less preying ,
What is the effect on haddock?,Decreased a little,2
Why?,still competition between elasmobranchs and haddock,
What is the effect on windowpane?,Stayed about the same,0
Why?,competition between skates ,
