Condition,D,
Initials,SS,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,There was competition.,
What is the effect on winter flounder?,Increased a lot,3
Why?,"Another type of fish was decreasing and there was competition, so winter flounder increased.",
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Took from what haddok lost,
What is the effect on skates?,Decreased a lot,3
Why?,Predation and competition.,
What is the effect on cod?,Increased a lot,3
Why?,Ate the mackerel and herring,
What is the effect on haddock?,Decreased a little,2
Why?,Competition,
What is the effect on windowpane?,Stayed about the same,0
Why?,They were both losing and gaining,
