Condition,D,
Initials,NAB,
Gender,Female,
College,COLA,
What is the effect on herring?,Decreased a little,3
Why?,"When the harvesting of small pelogics doubles, the overall population of herring decreases.",
What is the effect on winter flounder?,Increased a lot,3
Why?,"When the harvesting of flatfish is halved, the population of winter flouder significantly increases because the population is allowed to grow.",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"When the harvesting of flatfish is halved, the population of the yellowtail flouder remains about the same because there is an equal influence of winter flounder and windowpane competing with yellowtail flounder.",
What is the effect on skates?,Decreased a lot,3
Why?,"When the harvesting of elasmonranchs is doubled, the population of skates significantly decreases due to harvesting and competition with the winter flounder.",
What is the effect on cod?,Increased a lot,3
Why?,The cod population significantly increases due to competition with haddock and preying on herring.,
What is the effect on haddock?,Decreased a little,2
Why?,The haddock population decreases minimally due to competion with the redfish.,
What is the effect on windowpane?,Decreased a lot,3
Why?,The population of windowpane decreases a lot due to the increase of cod and competition between the two species.,
