Condition,D,
Initials,JM,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,because we are harvesting more of them,
What is the effect on winter flounder?,Increased a lot,3
Why?,"because we decreased our harvest of the winter flounder
",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,because there is so much more windowpane and winter flounder,
What is the effect on skates?,Decreased a lot,3
Why?,because we doubled our harvest effort of skates ,
What is the effect on cod?,Increased a lot,3
Why?,because there are less predators consuming them,
What is the effect on haddock?,Decreased a little,2
Why?,because there is a lot more Cod,
What is the effect on windowpane?,Decreased a lot,3
Why?,"because there are more cod and more winter and yellowtail flounder that im assuming are eating the prey of the windowpane, which decreases their food source",
