Condition,D,
Initials,GDF,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,"With the increase in fishing for Herring, there is a smaller population of Herring in the water. ",
What is the effect on winter flounder?,Increased a lot,3
Why?,"Now that there is a reduction in fishing for Winter Flounder, the population of Winter Flounder will increase.",
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,"Although there is a reduction in fishing for Yellowtail Flounder, there is still competition existing with Winter Flounder, Windowpane, and Haddock.",
What is the effect on skates?,Decreased a lot,3
Why?,"Witht the increase in fishing for Skates, there were more Skates being caught which reduced its population.  ",
What is the effect on cod?,Increased a lot,3
Why?,Cod increased a lot because there was a positive preddtion reaction due to the decrease in Spiny Dogfish.,
What is the effect on haddock?,Increased a little,0
Why?,"Over about 25 years of an increase in fishing for Skates and Spiny Dogfish,  the long term reaction of the increase in fishing those species had a small effect of an increase in population.  This small effect can be seen by a positive reaction in competition from the reduction in Skates.",
What is the effect on windowpane?,Increased a little,0
Why?,The increase in Windowpane in the last 10 years is primarily due to a positive reaction in competition due to the increase in fishing for Spiny Dogfish and Skates,
