Condition,D,
Initials,AH,
Gender,Female,
College,CHHS,
What is the effect on herring?,Decreased a little,3
Why?,The herring population is decreased due to the increase of catching of the herring. ,
What is the effect on winter flounder?,Increased a little,1
Why?,There is an increase to Winter Flouder due to a decrease of flatfish harvesting. ,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,The yellowtail flounder population remained about the same when the flatfish harvest effort was decreased by half,
What is the effect on skates?,Decreased a lot,3
Why?,The doubling of Elasmobranch harvest has a negative effect on Skates because of increased harvesting ,
What is the effect on cod?,Increased a lot,3
Why?,The cod population increases a little perhaps due to the fact that Spiny Dogfish eat Cod or compete for the same food source,
What is the effect on haddock?,Decreased a little,2
Why?,The Haddock population decreased a little due to the Cod population increase. ,
What is the effect on windowpane?,Decreased a little,1
Why?,The Windowpane poplulation goes down a little due to the decrease of Skates ,
