Condition,D,
Initials,MH,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,"Herring and mackerel compete for the same food. 
",
What is the effect on winter flounder?,Increased a lot,3
Why?,less harvesting will result in a more abundance of winter flounder,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,Less harvesting will result in a small increase in the abundance of yellowtail flounder,
What is the effect on skates?,Decreased a lot,3
Why?,increased harvesting will result in a smaller abundance of skates,
What is the effect on cod?,Increased a lot,3
Why?,harvesting more elasmobranchs will result in more cod because elasmobranchs eat cod and less predation will result in a more abundance of cod,
What is the effect on haddock?,Decreased a little,2
Why?,skates compete with haddock. A large decrease in skates and other elasmobranchs will result in a small decrease in haddock because there will be less food,
What is the effect on windowpane?,Decreased a lot,3
Why?,windowpane will decrease a lot because they compete with groundfish for food. Groundfish compete with elasmobranchs for food also. less food will result in a lesser abundance of windowpane flatfish,
