Condition,D,
Initials,mjc,
Gender,Male,
College,CEPS,
What is the effect on herring?,Decreased a little,3
Why?,caught more fish faster than they can repopulate,
What is the effect on winter flounder?,Increased a lot,3
Why?,caught less fish which allowed there to be an excess,
What is the effect on yellowtail flounder?,Increased a little,2
Why?,caughtless fish but yellow tail competes with windowpane allowing it to not have as much as a surplus,
What is the effect on skates?,Decreased a lot,3
Why?,increased fishing decreases population,
What is the effect on cod?,Increased a lot,3
Why?,because spiny dogfish are prediters to the cod and with less spiny dogfish more cod can populate,
What is the effect on haddock?,Decreased a little,2
Why?,hsddok competet with yellowtail floounder which increased casuing more competetion for the haddok,
What is the effect on windowpane?,Decreased a lot,3
Why?,because it competes with cod and there is an increase with cod causing there to be less windowpane,
