Condition,D,
Initials,PG,
Gender,Male,
College,Paul College,
What is the effect on herring?,Decreased a little,3
Why?,changes because herring is a small pelogic fish so it was hunted more,
What is the effect on winter flounder?,Increased a lot,3
Why?,less hunting means increased population for flatfish,
What is the effect on yellowtail flounder?,Stayed about the same,3
Why?,the yellowtail remained constant ,
What is the effect on skates?,Decreased a lot,3
Why?,Increased fishing efforts drastically reduced the number of skates,
What is the effect on cod?,Increased a lot,3
Why?,"With the increase on the Elasmobranchs harvest, COd increases and thrives",
What is the effect on haddock?,Decreased a little,2
Why?,little change with the haddock,
What is the effect on windowpane?,Decreased a lot,3
Why?,Increased competition between fish cased windowpane fish to be hunted more decreasing the population,
